# wavelength (nm)	 AM1.5G spectrum (W/m2)	 silicon absorption coefficient (/cm)
9.900000000000000000e+02	7.422005000000012842e+00	7.920000000000000284e+01
1.000000000000000000e+03	7.348309999999855791e+00	6.400000000000000000e+01
1.010000000000000000e+03	7.180555000000026666e+00	5.110000000000000142e+01
1.020000000000000000e+03	6.996579999999994470e+00	3.989999999999999858e+01
1.030000000000000000e+03	6.881534999999985303e+00	3.019999999999999929e+01
1.040000000000000000e+03	6.727540000000090004e+00	2.260000000000000142e+01
1.050000000000000000e+03	6.538945000000012442e+00	1.630000000000000071e+01
1.060000000000000000e+03	6.331029999999827851e+00	1.109999999999999964e+01
1.070000000000000000e+03	6.115844999999922038e+00	8.000000000000000000e+00
1.080000000000000000e+03	5.964020000000004984e+00	6.200000000000000178e+00
1.090000000000000000e+03	5.625965000000064720e+00	4.700000000000000178e+00
1.100000000000000000e+03	4.991514999999822066e+00	3.500000000000000000e+00
1.110000000000000000e+03	3.879995000000008076e+00	2.700000000000000178e+00
1.120000000000000000e+03	1.455058999999891967e+00	2.000000000000000000e+00
1.130000000000000000e+03	1.289177999999992608e+00	1.500000000000000000e+00
1.140000000000000000e+03	2.098390999999992346e+00	1.000000000000000000e+00
1.150000000000000000e+03	1.889345999999932246e+00	6.800000000000000488e-01
1.160000000000000000e+03	3.449479999999766733e+00	4.199999999999999845e-01
1.170000000000000000e+03	4.203250000000139153e+00	2.200000000000000011e-01
1.180000000000000000e+03	4.300314999999955035e+00	6.500000000000000222e-02
1.190000000000000000e+03	4.416404999999940628e+00	3.599999999999999728e-02
1.200000000000000000e+03	4.268270000000029540e+00	2.199999999999999872e-02
